Name,GWEIGHT,G0.05,G0.1,G0.15,G0.2,G0.25,G0.3,N0.05,N0.1,N0.15,N0.2,N0.25,N0.3,P0.05,P0.1,P0.15,P0.2,P0.25,P0.3,S0.05,S0.1,S0.15,S0.2,S0.25,S0.3,L0.05,L0.1,L0.15,L0.2,L0.25,L0.3,U0.05,U0.1,U0.15,U0.2,U0.25,U0.3
SFB2       : ER to Golgi transport ,1,-0.24,-0.13,-0.21,-0.15,-0.05,-0.05,0.2,0.24,-0.2,-0.42,-0.14,0.09,-0.26,-0.2,-0.22,-0.31,0.04,0.34,-0.51,-0.12,0.09,0.09,0.2,0.08,0.18,0.18,0.13,0.2,0.17,0.11,-0.06,-0.26,-0.05,-0.28,-0.19,0.09
          : biological process unknown ,1,0.28,0.13,-0.4,-0.48,-0.11,0.17,0.31,0,-0.63,-0.44,-0.26,0.21,-0.09,-0.04,-0.1,0.15,0.2,0.63,0.53,0.15,-0.01,0.12,-0.15,0.32,0.16,0.09,0.02,0.04,0.03,0.01,-1.02,-0.91,-0.59,-0.61,-0.17,0.18
QRI7       : proteolysis and peptidolysis ,1,-0.02,-0.27,-0.27,-0.02,0.24,0.25,0.23,0.06,-0.66,-0.4,-0.46,-0.43,0.18,0.22,0.33,0.34,0.13,0.44,1.29,-0.32,-0.47,-0.5,-0.42,-0.33,-0.3,0.02,-0.07,-0.05,-0.13,-0.04,-0.91,-0.94,-0.42,-0.36,-0.49,-0.47
CFT2       : mRNA polyadenylylation* ,1,-0.33,-0.41,-0.24,-0.03,-0.03,0,0.2,-0.25,-0.49,-0.49,-0.43,-0.26,0.05,0.04,0.03,-0.04,0.08,0.21,0.41,-0.43,-0.21,-0.33,-0.05,-0.24,-0.27,-0.28,-0.05,0.02,0,0.08,-0.53,-0.51,-0.26,0.05,-0.14,-0.01
SSO2       : vesicle fusion* ,1,0.05,0.02,0.4,0.34,-0.13,-0.14,-0.35,-0.09,-0.08,-0.58,-0.14,-0.12,-0.16,0.18,0.21,0.08,0.23,-0.29,-0.7,0.05,0.1,-0.07,-0.1,-0.32,-0.59,-0.13,0,-0.11,0.04,0.01,-0.45,-0.09,-0.13,0.02,-0.09,-0.03
PSP2       : biological process unknown ,1,-0.69,-0.03,0.23,0.2,0,-0.27,0.17,-0.4,-0.54,-1.19,-0.42,1.89,-0.32,-0.06,-0.62,-0.5,-0.37,NA,NA,-0.2,-0.09,0.06,-0.19,-0.14,-0.17,-0.07,0.25,-0.21,0.12,-0.11,NA,-0.65,0.09,0.06,-0.07,-0.1
RIB2       : riboflavin biosynthesis ,1,-0.55,-0.3,-0.12,-0.03,-0.16,-0.11,0.04,0,-0.63,-0.51,-0.37,-0.24,-0.35,-0.32,-0.39,-0.6,-0.29,-0.25,-0.14,-0.5,-0.19,-0.13,-0.01,-0.04,-0.02,-0.05,0.27,0.24,0.05,0.19,0.07,-0.31,-0.08,0.12,0.05,0.06
VMA13      : vacuolar acidification ,1,-0.75,-0.12,-0.07,0.02,-0.32,-0.41,0.11,-0.16,-0.26,-0.42,0.18,0.13,-0.19,-0.25,-0.25,-0.47,-0.24,-0.49,0.09,0.13,0.15,-0.02,0.24,-0.08,-0.11,-0.01,0.15,0.15,0,0.03,-0.4,-0.02,0.26,0.31,0.14,0.11
EDC3       : deadenylylation-independent decapping ,1,-0.24,-0.22,0.14,0.06,0,-0.13,0.3,0.07,-0.3,-0.01,0.15,0.13,-0.26,-0.2,-0.22,-0.17,-0.23,-0.38,-0.35,-0.14,0.1,-0.04,0.22,0.02,0.12,-0.01,0.17,0.07,0.1,0.11,0.01,-0.16,0.07,0.2,0.02,0.1
VPS5       : protein retention in Golgi* ,1,-0.16,-0.38,0.05,0.14,-0.04,-0.01,0.39,0.2,0.27,0.19,0.2,0.06,-0.23,-0.2,-0.07,-0.13,-0.14,-0.42,-0.38,-0.14,0,-0.06,0.16,-0.15,-0.2,-0.18,0.11,0,0.02,0.09,-0.26,-0.13,-0.1,0.07,-0.04,-0.12
